"scenario","donor","reference_weight","package_free_weight","absolute_difference"
"Toy mechanics","29",0.499966780121589,0.499966761280918,1.88406716339351e-08
"Toy mechanics","2",2.19376922133851e-11,1.15299926306853e-13,2.18223922870782e-11
"Toy mechanics","13",0.0732024269701006,0.0732024014281337,2.55419668332424e-08
"Toy mechanics","17",0.378863844211125,0.378863786349302,5.78618228330718e-08
"Toy mechanics","32",0.0479669486514514,0.0479670509410595,1.0228960817954e-07
"Toy mechanics","38",2.3795426282908e-11,4.71178651650916e-13,2.33242476312570e-11
"Proposition 99","Rhode Island",1.77398461049433e-11,2.1413015954496e-12,1.55985445094937e-11
"Proposition 99","Tennessee",1.48474899062705e-11,8.32663711860451e-13,1.40148261944101e-11
"Proposition 99","Indiana",5.7733389024869e-12,4.01821879480054e-13,5.37151702300685e-12
"Proposition 99","Nevada",0.050160796128738,0.0502158204481604,5.50243194224267e-05
"Proposition 99","Louisiana",1.84771920980764e-11,8.56671874164403e-14,1.839152491066e-11
"Proposition 99","Oklahoma",7.94016861139082e-12,4.32601915070077e-13,7.50756669632074e-12
"Proposition 99","New Hampshire",1.24238399761157e-14,5.14525965476431e-12,5.13283581478819e-12
"Proposition 99","North Dakota",1.11094223926451e-10,1.26425876177568e-11,9.84516363086942e-11
"Proposition 99","Arkansas",1.37218103894828e-11,9.44024090304145e-14,1.36274079804524e-11
"Proposition 99","Virginia",6.13704461464396e-12,3.62736367712055e-12,2.50968093752341e-12
"Proposition 99","Illinois",8.08216852729461e-11,1.53257003072904e-10,7.24353177999577e-11
"Proposition 99","South Dakota",5.92140950319114e-11,4.73372357814783e-12,5.44803714537636e-11
"Proposition 99","Utah",0.142503397149502,0.1425911482579,8.77511083973159e-05
"Proposition 99","Georgia",1.49430112850535e-11,1.53586012399663e-12,1.34071511610569e-11
"Proposition 99","Mississippi",1.98328491756748e-11,1.80686116187279e-13,1.96521630594875e-11
"Proposition 99","Colorado",0.540932444332136,0.54094198704239,9.54271025355169e-06
"Proposition 99","Minnesota",1.76799906283168e-10,1.03814624053786e-10,7.29852822293818e-11
"Proposition 99","Texas",7.71091603676318e-10,9.28165204122455e-11,6.78275083264073e-10
"Proposition 99","Kentucky",8.63368896088237e-13,4.64098061078684e-14,8.16959089980369e-13
"Proposition 99","Maine",1.48702908251282e-11,1.39936821250138e-12,1.34709226126268e-11
"Proposition 99","North Carolina",8.60207346773311e-17,1.86006914616182e-12,1.85998312542715e-12
"Proposition 99","Montana",1.45567520013636e-09,1.03391200152487e-10,1.35228399998387e-09
"Proposition 99","Vermont",1.55371669698192e-11,8.61158442601098e-13,1.46760085272181e-11
"Proposition 99","Iowa",9.15501931997852e-11,1.08967104059456e-11,8.06534827938396e-11
"Proposition 99","Connecticut",0.266203618090574,0.266234660762224,3.10426716498835e-05
"Proposition 99","Kansas",1.68788299997634e-11,5.956139459327e-12,1.09226905404364e-11
"Proposition 99","Delaware",6.90588292395999e-12,2.88003355176476e-12,4.02584937219523e-12
"Proposition 99","Wisconsin",0.000151546607626379,1.35576642483606e-05,0.000137988943378018
"Proposition 99","Idaho",9.42049701810288e-11,2.32303292469156e-12,9.18819372563373e-11
"Proposition 99","New Mexico",4.81940157451532e-05,2.82521092894313e-06,4.53688048162101e-05
"Proposition 99","West Virginia",2.32877425008479e-11,6.53228514899717e-13,2.26345139859482e-11
"Proposition 99","Pennsylvania",1.11175861035864e-10,8.75882761441051e-12,1.02417033421453e-10
"Proposition 99","South Carolina",1.66717106239246e-11,7.51717407526413e-13,1.59199932163982e-11
"Proposition 99","Ohio",2.63793480421998e-11,1.26356922454404e-12,2.51157788176558e-11
"Proposition 99","Nebraska",4.34316106606082e-10,7.4429420690073e-11,3.59886685916009e-10
"Proposition 99","Missouri",2.04184908361447e-11,1.4466705341179e-12,1.89718203020268e-11
"Proposition 99","Alabama",1.82147683554889e-11,6.94773210365278e-13,1.75199951451236e-11
"Proposition 99","Wyoming",1.02814921518693e-11,1.47947210038524e-11,4.51322885198305e-12
